iter	Passed	Remaining
551	4477	3634
552	4485	3625
553	4492	3616
554	4500	3608
555	4508	3600
556	4515	3591
557	4522	3582
558	4529	3573
559	4537	3564
560	4543	3555
561	4553	3548
562	4561	3540
563	4568	3531
564	4577	3524
565	4586	3516
566	4593	3508
567	4602	3500
568	4610	3492
569	4620	3485
570	4627	3476
571	4636	3469
572	4643	3460
573	4653	3453
574	4660	3444
575	4669	3437
576	4676	3428
577	4685	3420
578	4692	3412
579	4702	3405
580	4709	3396
581	4719	3389
582	4726	3380
583	4736	3373
584	4743	3364
585	4752	3357
586	4759	3348
587	4769	3341
588	4777	3333
589	4785	3325
590	4793	3317
591	4800	3308
592	4807	3299
593	4814	3290
594	4822	3282
595	4831	3275
596	4838	3266
597	4846	3257
598	4852	3248
599	4860	3240
600	4866	3230
601	4873	3222
602	4880	3213
603	4887	3204
604	4895	3195
605	4901	3187
606	4908	3178
607	4916	3169
608	4923	3160
609	4930	3152
610	4937	3143
611	4944	3134
612	4951	3126
613	4958	3117
614	4966	3109
615	4974	3101
616	4982	3093
617	4990	3084
618	4998	3076
619	5005	3068
620	5013	3059
621	5020	3050
622	5028	3042
623	5035	3034
624	5042	3025
625	5049	3016
626	5057	3008
627	5064	3000
628	5071	2991
629	5078	2982
630	5085	2974
631	5093	2965
632	5100	2957
633	5108	2948
634	5114	2939
635	5122	2931
636	5129	2922
637	5136	2914
638	5143	2905
639	5150	2897
640	5158	2889
641	5165	2880
642	5174	2872
643	5183	2865
644	5191	2857
645	5198	2848
646	5205	2840
647	5213	2831
648	5220	2823
649	5228	2815
650	5237	2807
651	5244	2799
652	5252	2791
653	5259	2782
654	5266	2774
655	5273	2765
656	5281	2757
657	5289	2749
658	5296	2740
659	5303	2732
660	5310	2723
661	5318	2715
662	5325	2706
663	5332	2698
664	5339	2689
665	5346	2681
666	5353	2672
667	5360	2664
668	5368	2656
669	5375	2647
670	5384	2639
671	5392	2632
672	5400	2624
673	5407	2615
674	5415	2607
675	5423	2599
676	5432	2591
677	5440	2583
678	5450	2576
679	5457	2568
680	5466	2560
681	5474	2552
682	5483	2545
683	5491	2536
684	5499	2529
685	5507	2520
686	5516	2513
687	5525	2505
688	5533	2497
689	5542	2490
690	5551	2482
691	5578	2482
692	5585	2474
693	5596	2467
694	5603	2459
695	5612	2451
696	5619	2443
697	5629	2435
698	5636	2427
699	5645	2419
700	5652	2411
701	5662	2403
702	5669	2395
703	5678	2387
704	5685	2379
705	5694	2371
706	5701	2362
707	5711	2355
708	5718	2347
709	5727	2339
710	5733	2330
711	5742	2322
712	5748	2314
713	5757	2306
714	5764	2297
715	5774	2290
716	5781	2281
717	5789	2273
718	5796	2265
719	5804	2257
720	5813	2249
721	5821	2241
722	5828	2233
723	5836	2224
724	5843	2216
725	5850	2208
726	5859	2200
727	5866	2191
728	5873	2183
729	5880	2174
730	5887	2166
731	5894	2158
732	5902	2149
733	5909	2141
734	5917	2133
735	5924	2124
736	5930	2116
737	5938	2108
738	5945	2099
739	5953	2091
740	5960	2083
741	5967	2075
742	5975	2066
743	5983	2058
744	5990	2050
745	5997	2042
746	6005	2033
747	6014	2026
748	6021	2018
749	6029	2009
750	6037	2001
751	6044	1993
752	6052	1985
753	6060	1977
754	6068	1969
755	6076	1961
756	6084	1953
757	6091	1944
758	6100	1936
759	6107	1928
760	6115	1920
761	6122	1912
762	6130	1904
763	6137	1895
764	6145	1887
765	6153	1879
766	6161	1871
767	6170	1863
768	6177	1855
769	6184	1847
770	6192	1839
771	6201	1831
772	6210	1823
773	6219	1816
774	6228	1808
775	6235	1799
776	6243	1791
777	6251	1783
778	6258	1775
779	6266	1767
780	6274	1759
781	6283	1751
782	6290	1743
783	6298	1735
784	6306	1727
785	6314	1719
786	6321	1710
787	6329	1702
788	6336	1694
789	6345	1686
790	6353	1678
791	6360	1670
792	6368	1662
793	6376	1654
794	6384	1646
795	6392	1638
796	6399	1630
797	6408	1622
798	6416	1614
799	6424	1606
800	6432	1598
801	6441	1590
802	6448	1582
803	6456	1574
804	6464	1565
805	6472	1557
806	6480	1549
807	6487	1541
808	6495	1533
809	6503	1525
810	6510	1517
811	6518	1509
812	6526	1501
813	6534	1493
814	6543	1485
815	6550	1477
816	6558	1469
817	6565	1460
818	6573	1452
819	6580	1444
820	6588	1436
821	6596	1428
822	6604	1420
823	6611	1412
824	6619	1404
825	6626	1395
826	6635	1388
827	6642	1379
828	6650	1371
829	6658	1363
830	6667	1355
831	6674	1347
832	6682	1339
833	6689	1331
834	6697	1323
835	6704	1315
836	6712	1307
837	6721	1299
838	6729	1291
839	6738	1283
840	6745	1275
841	6752	1267
842	6759	1258
843	6767	1250
844	6774	1242
845	6781	1234
846	6789	1226
847	6797	1218
848	6805	1210
849	6811	1202
850	6819	1193
851	6826	1185
852	6833	1177
853	6841	1169
854	6850	1161
855	6857	1153
856	6865	1145
857	6872	1137
858	6880	1129
859	6888	1121
860	6897	1113
861	6904	1105
862	6912	1097
863	6919	1089
864	6927	1081
865	6934	1073
866	6942	1065
867	6950	1056
868	6960	1049
869	6969	1041
870	6978	1033
871	6986	1025
872	6993	1017
873	7001	1009
874	7009	1001
875	7017	993
876	7026	985
877	7034	977
878	7043	969
879	7051	961
880	7059	953
881	7067	945
882	7075	937
883	7082	929
884	7091	921
885	7098	913
886	7106	905
887	7113	897
888	7120	889
889	7128	881
890	7136	873
891	7143	864
892	7150	856
893	7158	848
894	7165	840
895	7172	832
896	7179	824
897	7186	816
898	7194	808
899	7201	800
900	7208	792
901	7216	784
902	7224	776
903	7231	767
904	7239	759
905	7247	751
906	7257	744
907	7265	736
908	7272	728
909	7279	719
910	7287	711
911	7295	703
912	7303	695
913	7310	687
914	7318	679
915	7326	671
916	7333	663
917	7340	655
918	7347	647
919	7354	639
920	7362	631
921	7368	623
922	7376	615
923	7383	607
924	7390	599
925	7398	591
926	7405	583
927	7412	575
928	7420	567
929	7427	559
930	7435	551
931	7443	543
932	7451	535
933	7459	527
934	7466	519
935	7473	511
936	7481	503
937	7488	494
938	7496	486
939	7503	478
940	7510	470
941	7517	462
942	7525	454
943	7533	446
944	7540	438
945	7547	430
946	7555	422
947	7563	414
948	7570	406
949	7578	398
950	7585	390
951	7593	382
952	7600	374
953	7607	366
954	7613	358
955	7621	350
956	7628	342
957	7635	334
958	7642	326
959	7651	318
960	7658	310
961	7666	302
962	7672	294
963	7680	286
964	7688	278
965	7695	270
966	7702	262
967	7710	254
968	7717	246
969	7725	238
970	7732	230
971	7740	222
972	7747	215
973	7755	207
974	7761	199
975	7768	191
976	7777	183
977	7784	175
978	7790	167
979	7797	159
980	7804	151
981	7812	143
982	7819	135
983	7826	127
984	7833	119
985	7839	111
986	7846	103
987	7853	95
988	7861	87
989	7870	79
990	7878	71
991	7885	63
992	7892	55
993	7900	47
994	7908	39
995	7915	31
996	7923	23
997	7930	15
998	7938	7
999	7945	0
